"행정구역별(1)",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(1)",총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민 세대수 (세대),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),총인구 (명),총인구 (명),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),총인구 (명),총인구 (명),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),총인구 (명),총인구 (명),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),총인구 (명),총인구 (명),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),총인구 (명),총인구 (명),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명)
"행정구역별(1)",소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,혼인귀화자,혼인귀화자,혼인귀화자,기타사유,기타사유,기타사유,소계,소계,소계,외국인 부모,외국인 부모,외국인 부모,외국인-한국인부모,외국인-한국인부모,외국인-한국인부모,한국인 부모,한국인 부모,한국인 부모,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계
"행정구역별(1)",합계,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,합계,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자
"합계",51069375,1711013,921006,790007,1363712,788663,575049,573378,430361,143017,144912,25263,119649,82181,36617,45564,216213,108011,108202,347028,188411,158617,149751,31389,118362,93249,10308,82941,56502,21081,35421,197550,100954,96596,6001,3109,2892,183181,93431,89750,8368,4414,3954,299241,51269554,1764664,946561,818103,1413758,815467,598291,541673,416357,125316,159501,28728,130773,95963,41861,54102,235926,119263,116663,380695,209258,171437,159447,32816,126631,191459,98278,93181,51422507,1861084,989286,871798,1479247,845663,633584,495792,387579,108213,160653,30745,129908,117127,52258,64869,276750,138002,138748,428925,237079,191846,169535,34762,134773,212302,108861,103441,51629512,25877195,25752317,2054621,1098135,956486,1651561,945641,705920,528063,411036,117027,166882,32858,134024,142757,66545,76212,296023,147461,148562,517836,287741,230095,176915,36657,140258,226145,115837,110308,51779203,25952070,25827133,2216612,1184176,1032436,1778918,1017408,761510,515051,403330,111721,173882,34628,139254,160610,76048,84562,303245,150687,152558,626130,352715,273415,185728,37684,148044,251966,129084,122882,51829136,25915207,25913929,2156417,1117399,1039018,1695643,942619,753024,455287,358842,96445,173756,35679,138077,142569,69837,72732,345110,171546,173564,578921,306715,272206,199128,40876,158252,261646,133904,127742,51738071,25850044,25888027,2134569,1090073,1044496,1649967,906507,743460,395175,311651,83524,174632,36820,137812,156607,74048,82559,368581,190232,178349,554972,293756,261216,210880,43467,167413,273722,140099,133623,51692272,25835298,25856974,2258248,1159287,1098961,1752346,968784,783562,403139,323442,79697,175756,39174,136582,189397,86309,103088,397581,207432,190149,586473,312427,274046,223825,46193,177632,282077,144310,137767
"서울특별시",9904312,408083,193128,214955,337116,165218,171898,102081,59656,42425,27573,7908,19665,31129,11316,19813,80707,35877,44830,95626,50461,45165,40520,12574,27946,20439,4197,16242,20081,8377,11704,30447,15336,15111,1963,1039,924,27068,13553,13515,1416,744,672,64013,9805506,404037,189361,214676,335167,162741,172426,85878,51724,34154,33139,9524,23615,37178,13049,24129,80712,36109,44603,98260,52335,45925,40775,12411,28364,28095,14209,13886,9741871,413943,192250,221693,343927,165249,178678,70077,43365,26712,32061,9768,22293,44150,15142,29008,92060,40974,51086,105579,56000,49579,41692,12722,28970,28324,14279,14045,9673936,4718972,4954964,446473,210415,236058,374425,182420,192005,80567,50594,29973,32677,9937,22740,50488,17676,32812,93067,41613,51454,117626,62600,55026,42040,12854,29186,30008,15141,14867,9639541,4690440,4949101,465885,219371,246514,390177,189562,200615,75322,47148,28174,33281,10032,23249,54647,18889,35758,91166,40677,50489,135761,72816,62945,42208,12800,29408,33500,17009,16491,9586195,4647733,4938462,444443,203958,240485,366454,173390,193064,63526,39676,23850,31661,10071,21590,46925,16987,29938,102828,47211,55617,121514,59445,62069,43769,13199,30570,34220,17369,16851,9472127,4584251,4887876,426743,193715,233028,347080,162564,184516,49668,29786,19882,31098,10071,21027,51854,17795,34059,103128,50382,52746,111332,54530,56802,44768,13418,31350,34895,17733,17162,9417469,4547051,4870418,442289,197004,245285,360947,165249,195698,43667,25591,18076,31777,10455,21322,66975,21609,45366,105356,52678,52678,113172,54916,58256,45792,13693,32099,35550,18062,17488
"부산광역시",3448737,58080,31275,26805,44070,26008,18062,16424,14241,2183,6527,986,5541,6163,2780,3383,3688,1748,1940,11268,6253,5015,4853,583,4270,3443,150,3293,1410,433,977,9157,4684,4473,91,39,52,8640,4408,4232,426,237,189,12826,3440484,59872,31901,27971,46168,26920,19248,15934,14028,1906,6672,984,5688,7346,3203,4143,3644,1773,1871,12572,6932,5640,5181,614,4567,8523,4367,4156,3416918,64145,33841,30304,48808,28130,20678,14901,13245,1656,6841,1096,5745,9071,4202,4869,3961,1889,2072,14034,7698,6336,5496,657,4839,9841,5054,4787,3395278,1668984,1726294,71570,37623,33947,55506,31621,23885,14779,13012,1767,6949,1108,5841,11370,5549,5821,3911,1836,2075,18497,10116,8381,5671,694,4977,10393,5308,5085,3372692,1655566,1717126,77968,40549,37419,60502,34021,26481,13855,12230,1625,7257,1188,6069,12475,6075,6400,3815,1804,2011,23100,12724,10376,5998,701,5297,11468,5827,5641,3349016,1638751,1710265,73185,36641,36544,54914,29874,25040,12711,11218,1493,7365,1307,6058,10547,5298,5249,4197,1949,2248,20094,10102,9992,6422,769,5653,11849,5998,5851,3324335,1624745,1699590,72361,35686,36675,53334,28658,24676,11811,10408,1403,7340,1354,5986,11317,5475,5842,4219,2001,2218,18647,9420,9227,6700,798,5902,12327,6230,6097,3295760,1608947,1686813,75687,37564,38123,55973,30326,25647,12420,11007,1413,7204,1438,5766,12579,6032,6547,4359,2054,2305,19411,9795,9616,7061,850,6211,12653,6388,6265
"대구광역시",2466052,38899,20816,18083,29282,17292,11990,11701,9454,2247,4549,645,3904,2852,1455,1397,2330,1217,1113,7850,4521,3329,3194,333,2861,2352,105,2247,842,228,614,6423,3191,3232,68,38,30,6084,3003,3081,271,150,121,8560,2461002,40251,21407,18844,30492,17948,12544,11181,9162,2019,4793,694,4099,2844,1515,1329,2637,1401,1236,9037,5176,3861,3610,388,3222,6149,3071,3078,2453041,42506,22137,20369,31365,18112,13253,10219,8462,1757,4943,759,4184,3240,1722,1518,2986,1594,1392,9977,5575,4402,3872,419,3453,7269,3606,3663,2444412,1212777,1231635,47017,24117,22900,35280,19839,15441,9718,8050,1668,5154,799,4355,4248,2230,2018,3172,1688,1484,12988,7072,5916,4022,438,3584,7715,3840,3875,2429940,1203754,1226186,53023,26942,26081,40092,22181,17911,9358,7760,1598,5382,869,4513,5960,3166,2794,3212,1654,1558,16180,8732,7448,4330,449,3881,8601,4312,4289,2410700,1190271,1220429,50900,24577,26323,37398,19646,17752,8026,6702,1324,5474,913,4561,6128,3275,2853,3380,1646,1734,14390,7110,7280,4669,482,4187,8833,4449,4384,2387911,1177420,1210491,51140,24267,26873,36956,19070,17886,7273,6000,1273,5421,919,4502,6968,3594,3374,3490,1765,1725,13804,6792,7012,4902,495,4407,9282,4702,4580,2366852,1165698,1201154,53684,25651,28033,38849,20236,18613,7444,6215,1229,5411,998,4413,7555,3814,3741,3812,1924,1888,14627,7285,7342,5249,558,4691,9586,4857,4729
"인천광역시",2890451,89515,48571,40944,67850,40224,27626,27507,21845,5662,8732,1754,6978,2423,1026,1397,9888,4871,5017,19300,10728,8572,9820,2259,7561,5901,736,5165,3919,1523,2396,11845,6088,5757,540,284,256,10822,5544,5278,483,260,223,18394,2913024,94670,50587,44083,71873,41959,29914,25628,20723,4905,9873,2031,7842,2702,1111,1591,11881,5829,6052,21789,12265,9524,11115,2615,8500,11682,6013,5669,2925967,104441,55363,49078,79170,45773,33397,23783,19393,4390,10143,2268,7875,3268,1467,1801,14829,7053,7776,27147,15592,11555,12483,3038,9445,12788,6552,6236,2936117,1476097,1460020,115720,61181,54539,88489,50742,37747,25539,20632,4907,10875,2498,8377,3978,1835,2143,17295,8205,9090,30802,17572,13230,13560,3414,10146,13671,7025,6646,2952237,1484528,1467709,130292,68659,61633,100174,56990,43184,25209,20321,4888,11545,2710,8835,6068,3108,2960,18942,8894,10048,38410,21957,16453,14666,3730,10936,15452,7939,7513,2945454,1477064,1468390,131396,67146,64250,99212,54688,44524,22450,18115,4335,11771,2812,8959,5177,2683,2494,22213,10505,11708,37601,20573,17028,16100,4167,11933,16084,8291,7793,2957044,1482202,1474842,134714,67877,66837,100379,54530,45849,19718,15929,3789,12216,2963,9253,5184,2495,2689,24953,12152,12801,38308,20991,17317,17363,4584,12779,16972,8763,8209,2989125,1499105,1490020,146885,74310,72575,110201,60130,50071,19814,16183,3631,12664,3260,9404,6360,3087,3273,29114,14249,14865,42249,23351,18898,18888,5003,13885,17796,9177,8619
"광주광역시",1502881,29131,15077,14054,21592,12211,9381,7445,5954,1491,3154,344,2810,3406,1650,1756,1690,883,807,5897,3380,2517,2449,186,2263,1911,51,1860,538,135,403,5090,2680,2410,54,25,29,4861,2548,2313,175,107,68,6185,1501557,31162,15945,15217,23701,13211,10490,7538,5997,1541,3298,361,2937,3577,1750,1827,2173,1148,1025,7115,3955,3160,2703,234,2469,4758,2500,2258,1496172,34412,17661,16751,26052,14532,11520,7413,5904,1509,3372,416,2956,4271,2205,2066,2652,1363,1289,8344,4644,3700,2912,239,2673,5448,2890,2558,1490092,741728,748364,38698,19943,18755,29833,16601,13232,7515,5981,1534,3413,456,2957,5203,2779,2424,2829,1454,1375,10873,5931,4942,3042,255,2787,5823,3087,2736,1489730,741287,748443,43053,22007,21046,33286,18348,14938,7312,5851,1461,3635,510,3125,6156,3335,2821,2944,1526,1418,13239,7126,6113,3297,254,3043,6470,3405,3065,1477573,734140,743433,40715,20047,20668,30573,16308,14265,6392,5126,1266,3723,548,3175,5576,3071,2505,3223,1665,1558,11659,5898,5761,3483,285,3198,6659,3454,3205,1475262,732088,743174,41181,19986,21195,30497,16040,14457,5498,4525,973,3709,575,3134,6184,3266,2918,4010,2080,1930,11096,5594,5502,3675,295,3380,7009,3651,3358,1468972,728859,740113,44063,21616,22447,32863,17509,15354,5723,4771,952,3695,608,3087,6462,3400,3062,4851,2540,2311,12132,6190,5942,3950,326,3624,7250,3781,3469
